Wing volumes of Harmonia axyridis (¦Ìm3),,,,
,Forewing,,Hindwing,
,Left,Right,Left,Right 
PP1(4h),40181760.00 ,39946240.00 ,17051648.00 ,16002048.00 
,33298393.38 ,33793501.53 ,15073454.82 ,17662746.52 
,37686272.00 ,38705664.00 ,16247296.00 ,15806464.00 
PP2(8h),82398167.83 ,82824978.97 ,37033457.81 ,39274638.04 
,111413263.68 ,121185074.56 ,67075238.20 ,65993508.31 
,163149312.00 ,161140224.00 ,78145536.00 ,81874432.00 
PP3(12h),178798592.00 ,162236928.00 ,95263744.00 ,97890816.00 
,129862348.59 ,124898171.07 ,49430044.41 ,52824257.04 
,143565825.77 ,138645916.11 ,64506854.82 ,66125205.52 
PP4(16h),197042176.00 ,210233344.00 ,167752192.00 ,175825920.00 
,148860405.68 ,145642243.93 ,83541980.36 ,80387088.44 
,145299821.97 ,144490646.62 ,81470025.23 ,81352320.76 
PP5(20h),231112192.00 ,214259200.00 ,139805696.00 ,137315840.00 
,212165632.00 ,211791872.00 ,111214592.00 ,110129664.00 
,173628205.28 ,175794735.74 ,104584333.80 ,106027141.02 
P1(48h),202002835.99 ,228448594.36 ,79280996.58 ,79570625.08 
,124704933.07 ,133307642.39 ,67435492.86 ,91249256.22 
,270189087.04 ,250986884.40 ,122424543.75 ,140210014.92 
P2(72h),249676235.53 ,232706545.05 ,106309100.40 ,109848470.44 
,154570062.28 ,145089322.65 ,75180138.93 ,76041533.33 
,215820669.91 ,229148193.39 ,112805379.48 ,125718949.69 
P3(96h),323763736.56 ,306517700.38 ,272682206.28 ,260329071.75 
,339614621.12 ,338829902.46 ,275357877.18 ,271145089.43 
,322970182.10 ,319124910.61 ,305794362.42 ,302913541.53 
P4(120h),447648549.40 ,452882669.45 ,318644861.95 ,313833551.51 
,411961488.30 ,415422836.38 ,312873785.35 ,310580197.14 
,431246345.20 ,428123145.92 ,303585434.47 ,308212349.22 
