,Dm-L1,Dm-L2,Dm-L3,Dm-WL,Dm-PP1,Dm-PP2,Dm-PP3,Dm-P1,Dm-P2,Dm-P3,Ha-L1,Ha-L2,Ha-L3,Ha-L4,Ha-PP1,Ha-PP2,Ha-PP3,Ha-PP4,Ha-PP5,Ha-P1,Ha-P2,Ha-P3,Ha-P4,Px-L1,Px-L2,Px-L3,Px-L4,Px-PP1,Px-PP2,Px-PP3,Px-PP4,Px-P1,Px-P2,Px-P3,Lm-N1,Lm-N2,Lm-N3,Lm-N4,Lm-N5d1,Lm-N5d3,Lm-N5d5
OG0003612,6.502690107,80.81172262,14.07609048,11.92491353,36.23774234,18.06804659,167.8283725,493.9051921,24.38713964,4.513836473,55.63083797,92.88278175,36.20932194,1.642863248,738.5276021,109.7419428,42.63826679,3.736280825,4.504894126,52.78672604,1387.998568,1698.372043,3.613448709,31.34047206,3.962991596,5.205596522,0.139623657,184.3956201,216.1666806,12.13623833,0.99029989,432.7432741,39.97653074,7.853426987,124.8747561,82.86354131,49.25562692,48.61938314,2.939333483,2.87614605,3.760525615
OG0003614,18.64421938,21.79961603,19.52601534,21.94101084,34.23678242,31.47891823,36.12685675,25.39076043,17.95525679,9.937274729,33.38608566,26.50620282,31.51007572,31.60917587,22.51400041,12.37342108,12.1929999,15.61494112,18.79790796,34.62713824,34.91315396,46.02079809,22.60209721,11.72261608,5.57299998,7.420502667,9.334003741,29.36886834,25.72469135,22.10477751,15.85698099,11.26933814,16.52789096,24.12770235,22.01594464,19.17772774,19.93113308,17.31436904,12.86935702,10.64994811,11.65425036
OG0003615,43.53604466,24.43152966,46.42524342,48.57697534,33.49694759,51.89061266,65.42193607,177.1790289,100.6057124,27.09556487,26.84191664,29.0026035,16.67719117,18.32490959,43.42526911,70.32972473,47.47204749,34.7139014,25.19555886,27.47734188,136.3794308,72.35180171,92.39139313,12.89151936,7.800488157,14.26168094,1.37094035,29.13118856,21.53982713,31.14399863,23.25908491,252.9653956,178.4601118,129.8572949,16.49933297,7.29282965,19.16118532,3.270288988,3.359139444,2.700641492,2.522019222
OG0003616,9.857308521,4.58962491,3.390978433,12.57433565,21.24563378,24.49537843,36.19417049,19.25893875,11.58377435,8.275398314,33.00973855,31.03167653,24.91143807,21.69989392,34.97882427,24.27141401,23.76915938,24.19614984,33.23733854,34.87275907,36.16018878,42.41881357,37.66607213,9.425609644,8.207052446,7.50462661,4.99830443,11.97350526,11.88315625,11.73565514,10.62807072,19.47937683,20.7775651,20.55222233,14.80169071,9.284457914,11.49231904,11.44895372,12.45718703,11.27801453,11.10621762
OG0003617,3.375352413,1.163946478,0.520946777,0.577015765,0.830887554,1.919927836,2.420976951,5.726949974,4.13190845,1.434844652,12.48202009,7.121951794,3.959534706,1.674650896,5.093093897,4.489467358,4.714060137,3.701770671,4.196286721,6.029585638,4.646147306,7.788842565,5.424289939,1.464476842,0.762176918,0.897588699,0.176357146,1.175600425,1.47836759,1.811564971,1.573726813,2.35102405,2.740843188,2.297645685,3.717123998,2.484301722,3.238530657,2.62303303,0.565467026,0.610388962,0.825890977
OG0003619,2.263866798,8.128322455,5.234296192,0.930507316,1.727405596,5.758932924,4.930435761,118.2845856,43.80015303,11.34739887,1.840897629,2.044710263,0.406546654,0.892900789,23.74655917,93.54900297,94.39255477,34.14655227,28.49186759,9.065781315,145.5693635,92.73519563,73.05214819,3.916205689,12.54177222,29.93028464,0.602044691,27.2285966,22.31557495,60.73288363,57.57419244,95.17915923,265.6802506,221.1741924,23.54798268,10.23689759,15.68082098,3.121856868,0.710669616,0.931769297,0.971890432
OG0003620,14.53161534,87.90881196,104.8208027,18.81886684,50.82000047,345.6941977,53.50223424,162.235732,144.7933064,50.95548003,31.22213256,54.05753922,71.14324082,65.72030562,179.1061973,443.9995937,491.4740443,381.7768632,424.6667292,569.7335227,264.2060581,213.4373528,369.5336304,11.91783157,17.18826414,37.21789362,4.117987707,132.2318408,64.2400055,337.0660958,348.9507618,129.9657141,336.0887012,113.892135,32.28036287,11.12630119,43.60574918,18.45118351,10.93386596,7.234617492,6.9853329
OG0003621,16.34605751,15.70563371,12.99444773,29.29502062,54.72054531,59.34654773,59.10162398,32.33158511,15.99319832,13.93693306,42.59766178,30.79913883,27.15750359,32.85136624,56.74042302,30.80255187,43.51075154,25.84605718,38.2784184,64.85625295,44.57902698,64.50321778,44.53132844,6.102393949,2.428653512,2.875141559,2.07110365,11.6789377,7.855022922,7.851567153,6.199648199,13.16760699,8.959148044,9.582216275,16.61923291,16.56511377,15.76838105,19.2029053,24.07383811,21.03545088,22.85654535
OG0003622,33.62295757,15.56655433,10.98738381,7.62934697,8.592007994,12.4506266,12.72245755,10.64743163,5.877894338,6.621093706,14.34631643,15.20695176,11.55670229,9.01923433,12.699839,5.541895946,7.841473914,4.343893918,10.13067344,9.561482564,14.40078055,17.20996195,9.841405726,4.109035623,5.4630019,7.632404097,2.098328766,3.090834534,2.714483273,3.09221988,2.488171398,4.474556399,3.355542816,4.061566,2.860812488,3.069406794,3.560915685,3.137251621,5.29622519,6.025027146,5.7621432
OG0003623,20.17668052,22.07270788,16.22725088,7.70599878,9.501934169,11.8646625,15.81133597,27.75399016,30.50457521,19.38898248,52.75101569,50.91251319,68.40753958,56.3469709,34.09215299,28.90360874,20.56930374,27.74621177,19.67393091,31.31559474,50.24093841,38.00824509,32.59850027,8.096915405,7.80357145,8.922247443,7.660669162,6.904389661,6.843188794,7.267624526,10.29729279,11.38945275,12.29721988,13.53996217,22.19624388,16.56691159,17.88198865,14.25235226,12.78779883,13.46880806,11.36477894
OG0003624,864.8919974,703.2909801,915.4398207,100.2158526,82.65440957,121.6309388,110.7523196,85.62098069,75.71917625,242.9478415,512.3152969,278.350754,346.0722862,232.1104174,137.5131445,76.9288213,94.04395047,48.64817572,71.48583505,162.9371522,83.04910439,91.81863663,66.46465572,71.80009175,30.45700767,22.69187806,115.8190974,42.5049893,45.52721218,42.70020209,31.69207348,30.72568104,21.10657811,39.79285056,116.704447,118.7577533,82.91405334,111.597947,198.3437075,194.5645728,249.1942889
OG0003625,20.42542086,22.38671881,22.77878772,48.90539266,66.74188812,43.42098263,49.88041928,56.33499701,36.51176783,22.61107221,55.66450589,41.55044735,43.91665731,49.08725517,103.0257543,74.97266126,64.41295645,44.85780205,54.93865786,68.63949634,127.3801329,138.9922131,60.4078136,3.330330656,1.085402063,1.225190003,3.482933513,11.33931202,10.65489908,9.772775044,8.1212783,15.76736768,9.283011274,6.373386791,30.15625185,28.14539555,25.48029033,32.9591597,40.17149479,38.12503672,35.70139149
