OG_ID	Dm-L1	Dm-L2	Dm-L3	Dm-WL	Dm-PP1	Dm-PP2	Dm-PP3	Dm-P1	Dm-P2	Dm-P3	Ha-L1	Ha-L2	Ha-L3	Ha-L4	Ha-PP1	Ha-PP2	Ha-PP3	Ha-PP4	Ha-PP5	Ha-P1	Ha-P2	Ha-P3	Ha-P4	Px-L1	Px-L2	Px-L3	Px-L4	Px-PP1	Px-PP2	Px-PP3	Px-PP4	Px-P1	Px-P2	Px-P3	Lm-N1	Lm-N2	Lm-N3	Lm-N4	Lm-N5d1	Lm-N5d3	Lm-N5d5
OG0003612	8.793815058	11.61313578	9.695531271	9.245793965	11.58578455	13.160914	9.89309133	8.518924557	9.228023498	9.919665989	9.161515986	12.50802053	10.84085963	6.44491512	14.66854984	9.271138192	11.22177391	8.252241745	8.356469837	11.08546847	15.94253637	16.11780293	7.535385402	9.683471371	7.751848262	8.088994598	5.502451723	11.30837141	12.10184897	8.717425068	6.01489773	13.00802333	9.310191514	6.915777391	12.1539903	11.49004583	11.62278695	10.34023666	7.587357612	7.566144904	7.889132736
OG0003614	8.996230508	9.226158014	9.236502596	9.073872694	8.996242758	8.809664356	8.891811081	8.55533496	9.071244293	9.143709262	10.05723566	9.772704613	10.18156892	10.27045592	9.366936671	9.03400813	9.048436996	9.621452474	9.607071115	9.986703746	9.900065204	10.28619239	9.468758127	9.264500427	8.81381583	9.088815722	10.09827992	10.29397814	9.858584984	9.827820754	9.643670252	8.452259311	9.444447654	9.912379333	9.774472281	9.647836427	9.678396645	9.48627635	8.776646704	8.551172562	8.774943452
OG0003615	9.509692986	9.083156159	9.825469682	9.229220691	9.232949012	10.44619934	10.31385722	9.070432186	9.561454912	8.893398459	9.464819968	9.587706401	8.98948602	9.34253784	9.904337665	10.95105789	10.43872845	10.59798319	9.802242531	9.447576515	11.10544497	10.77675188	11.56104858	8.550414843	8.411640153	9.142355852	6.890555969	8.68678874	8.849054884	9.426223572	9.188796609	12.07905072	11.82905033	11.74013122	8.676815878	7.930585173	8.964068354	7.505858004	7.371986157	7.253538178	7.289548517
OG0003616	9.158858802	8.637279064	8.558464925	9.552276689	9.788872913	9.280513149	9.22694159	9.011961306	9.263637345	9.469785645	11.17638614	11.18971081	11.05461155	11.06759738	11.20612326	11.28239621	11.25370492	11.61134556	11.72358427	11.29914355	11.11905632	11.11098685	11.43478599	8.597121183	8.924823801	8.828696938	8.70777469	8.574149347	8.537889455	8.528394107	8.720747498	8.769956206	9.234226501	9.522132098	9.142763841	8.718168495	8.940592141	8.974370941	8.685050416	8.721133225	8.682250807
OG0003617	8.377886636	7.873281104	7.731293849	7.892791092	7.923164651	8.342325472	8.426264691	7.98683317	7.621812034	7.687679785	7.348601289	6.628009385	6.32534324	5.372124006	6.08470285	6.390883989	6.497045463	6.595829647	6.399834483	6.463393444	6.079857485	6.530999201	6.599892599	6.210307634	5.629527912	6.121425256	5.319303571	5.728251341	5.941764482	6.131073585	6.112291568	6.183274931	6.43822206	6.303130775	7.336236684	7.124344686	7.290427997	7.237742233	6.564141523	6.573987679	6.676234553
OG0003619	7.750411697	8.416123727	8.251687323	7.951001201	7.800117085	10.09350876	9.56709859	8.563397352	7.563045621	7.630303856	5.907686055	6.094444174	4.954374763	5.411570019	8.945357809	11.26366059	11.43915589	10.22082474	9.834180936	7.725187927	11.36093163	11.0430618	10.79271379	6.770211078	8.713147242	10.14272305	6.281985949	9.131121711	8.634933093	10.25043481	10.3391538	8.96903724	12.33736455	12.37929562	8.846402717	7.597584952	8.985160577	7.256062916	6.68001624	6.847193084	6.80171587
OG0003620	9.375155527	11.58022611	12.0041361	12.61031107	10.03603384	11.52579487	11.97659789	10.74299503	9.547499721	10.23356928	10.61190184	11.49673682	12.03274624	12.14931609	12.96739246	15.03861851	14.92142351	14.96795009	14.40507439	14.70887603	12.46237693	13.16113657	14.20390585	9.221870639	10.51843342	11.67529733	9.137136023	12.82202848	11.98421011	14.37147088	14.44056818	12.05492591	13.99954693	13.02014305	10.80147155	9.713116734	11.48732673	10.61733989	9.312713004	9.083127041	8.937816059
OG0003621	9.487975236	9.574961189	9.551012442	10.34077727	10.16573356	9.629296958	9.396575255	9.344649707	10.02235406	10.31088675	10.8835706	10.54356684	10.48883555	10.90389879	11.19730832	10.90739152	11.28877219	10.95864535	11.1163368	11.44417126	10.74702894	11.12806966	11.18283725	8.040998144	7.123218178	7.694395067	7.588123652	8.549280033	8.138264337	8.028686139	7.987904502	8.159264619	8.097346579	8.413860609	10.11934491	10.15671051	10.1488029	10.35494121	10.34193912	10.24368049	10.3518865
OG0003622	10.29624806	9.601767566	9.428642951	8.849041101	8.751659201	8.701365998	8.614980875	8.763647762	8.824020333	8.625674949	9.942864145	9.988694416	9.914026325	9.659613943	9.736874657	9.061028738	9.458103776	9.081961541	10.00252406	9.402275218	9.718968966	9.908975861	9.673825379	8.966751414	9.787700817	10.10592295	8.879633371	8.168075585	8.143480915	8.342563806	8.110504316	8.449388474	8.204447276	7.780227081	8.224468978	8.503132204	8.613445884	8.424981569	8.745691935	8.90097166	8.790988506
OG0003623	9.147847113	9.300376316	9.212823759	8.384715649	8.457657992	8.973914	9.459118154	9.131307206	8.387192681	8.34749124	10.94639862	11.0029685	11.60404802	11.50783392	10.34931162	10.54491174	10.02071425	10.9251326	10.19311771	10.21564398	10.78110144	10.18622909	10.46647034	8.784813371	9.178370962	9.451443319	9.928847769	8.135404656	8.190803301	8.311449427	9.050263709	8.810573649	9.022195984	9.292825441	9.748020794	9.465194377	9.560909801	9.195342588	8.805400421	8.953938436	8.694712355
OG0003624	13.65281587	13.52093705	14.11995515	10.41033736	10.12491015	9.937954747	10.31672057	11.89506979	10.67481416	10.01925766	13.75228863	13.15850361	13.51081064	13.18602973	11.66011092	11.5140365	11.80881113	11.21405222	11.28665122	12.18933708	11.04850881	10.77517083	11.02359482	11.72477507	10.40219222	10.30416161	13.55325086	10.34804554	10.442515	10.60222831	10.3133991	9.593293482	9.246205434	10.18786347	12.23962888	11.99507529	11.60000214	11.89365666	12.41663922	12.5252285	12.8898231
